"REF_DATE","GEO","DGUID","Land use","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","711090","","","","0"
"1926","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","","..","","","0"
"1931","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","728623","","","","0"
"1936","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","","..","","","0"
"1941","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","732832","","","","0"
"1946","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","","..","","","0"
"1951","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","623087","","","","0"
"1956","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","574993","","","","0"
"1961","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","480877","","","","0"
"1966","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","430503","","","","0"
"1971","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","366110","","","","0"
"1976","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","338552","","","","0"
"1981","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","318361","","","","0"
"1986","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","293089","","","","0"
"1991","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","280043","","","","0"
"1996","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","276548","","","","0"
"2001","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","246923","","","","0"
"2006","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","229373","","","","0"
"2011","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","205730","","","","0"
"2016","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","193492","","","","0"
"2021","Canada","2016A000011124","Total area of farms","Number of farms reporting","Number","223","units","0","v62725881","1.1.1","189874","","","","0"
"1921","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","140887903","","","","0"
"1926","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","","..","","","0"
"1931","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","163114034","","","","0"
"1936","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","","..","","","0"
"1941","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","173563282","","","","0"
"1946","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","","..","","","0"
"1951","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","174046222","","","","0"
"1956","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","173919214","","","","0"
"1961","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","172542461","","","","0"
"1966","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","174120560","","","","0"
"1971","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","169664166","","","","0"
"1976","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","169082181","","","","0"
"1981","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","162815073","","","","0"
"1986","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","167601113","","","","0"
"1991","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","167423057","","","","0"
"1996","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","168167475","","","","0"
"2001","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","166802197","","","","0"
"2006","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","167010491","","","","0"
"2011","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","160155748","","","","0"
"2016","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","158723092","","","","0"
"2021","Canada","2016A000011124","Total area of farms","Acres","Acres","28","units","0","v62725882","1.1.2","153687771","","","","0"
"1921","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","57015306","","","","0"
"1926","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","","..","","","0"
"1931","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","66009901","","","","0"
"1936","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","","..","","","0"
"1941","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","70238561","","","","0"
"1946","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","","..","","","0"
"1951","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","70434000","","","","0"
"1956","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","70382601","","","","0"
"1961","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","69825449","","","","0"
"1966","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","70464083","","","","0"
"1971","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","68660645","","","","0"
"1976","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","68425124","","","","0"
"1981","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","65888916","","","","0"
"1986","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","67825757","","","","0"
"1991","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","67753700","","","","0"
"1996","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","68054956","","","","0"
"2001","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","67502447","","","","0"
"2006","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","67586741","","","","0"
"2011","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","64812723","","","","0"
"2016","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","64232948","","","","0"
"2021","Canada","2016A000011124","Total area of farms","Hectares","Hectares","149","units","0","v62725883","1.1.3","62195226","","","","0"
"1921","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","198","","","","0"
"1926","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","","..","","","0"
"1931","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","224","","","","0"
"1936","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","","..","","","0"
"1941","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","237","","","","0"
"1946","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","","..","","","0"
"1951","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","279","","","","0"
"1956","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","302","","","","0"
