"REF_DATE","GEO","DGUID","Farms according to the number of operators reported","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada [000000000]","2021A000011124","All farms","Total number of farms","Number","223","units","0","v1327216703","1.1.1","189874","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Total number of farm operators","Number","223","units","0","v1327216704","1.1.2","262455","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Sex - male","Number","223","units","0","v1327216705","1.1.3","182655","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Sex - female","Number","223","units","0","v1327216706","1.1.4","79795","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Age - under 35 years","Number","223","units","0","v1327216707","1.1.5","22635","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Age - 35 to 54 years","Number","223","units","0","v1327216708","1.1.6","81040","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Age - 55 years and over","Number","223","units","0","v1327216709","1.1.7","158790","","","","0"
"2021","Canada [000000000]","2021A000011124","All farms","Age - average","Number","223","units","0","v1327216710","1.1.8","56.0","","","","1"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Total number of farms","Number","223","units","0","v1327216712","1.2.1","115081","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327216713","1.2.2","111245","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Sex - male","Number","223","units","0","v1327216714","1.2.3","94660","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Sex - female","Number","223","units","0","v1327216715","1.2.4","16590","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327216716","1.2.5","9965","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327216717","1.2.6","31360","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327216718","1.2.7","69945","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with one operator","Age - average","Number","223","units","0","v1327216719","1.2.8","56.9","","","","1"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327216721","1.3.1","74793","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327216722","1.3.2","151205","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Sex - male","Number","223","units","0","v1327216723","1.3.3","88000","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Sex - female","Number","223","units","0","v1327216724","1.3.4","63205","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327216725","1.3.5","12665","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327216726","1.3.6","49670","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327216727","1.3.7","88845","","","","0"
"2021","Canada [000000000]","2021A000011124","Farms with two or more operators","Age - average","Number","223","units","0","v1327216728","1.3.8","55.4","","","","1"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Total number of farms","Number","223","units","0","v1327216730","2.1.1","344","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Total number of farm operators","Number","223","units","0","v1327216731","2.1.2","450","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Sex - male","Number","223","units","0","v1327216732","2.1.3","340","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Sex - female","Number","223","units","0","v1327216733","2.1.4","115","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Age - under 35 years","Number","223","units","0","v1327216734","2.1.5","15","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Age - 35 to 54 years","Number","223","units","0","v1327216735","2.1.6","130","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Age - 55 years and over","Number","223","units","0","v1327216736","2.1.7","295","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","All farms","Age - average","Number","223","units","0","v1327216737","2.1.8","57.5","","","","1"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Total number of farms","Number","223","units","0","v1327216739","2.2.1","240","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327216740","2.2.2","240","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Sex - male","Number","223","units","0","v1327216741","2.2.3","205","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Sex - female","Number","223","units","0","v1327216742","2.2.4","35","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327216743","2.2.5","5","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327216744","2.2.6","55","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327216745","2.2.7","170","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with one operator","Age - average","Number","223","units","0","v1327216746","2.2.8","58.6","","","","1"
