Year,Share_Ag_in_Total_GHG,Province
1990,0.8307170051473369,NL
1991,1.0841492281350336,NL
1992,1.3558938616042526,NL
1993,1.257941444569027,NL
1994,1.4290461212206573,NL
1995,1.3033379449325941,NL
1996,1.2836492885375603,NL
1997,1.3895070800769307,NL
1998,1.2651053834157036,NL
1999,1.2860059436103568,NL
2000,1.2362415091720744,NL
2001,0.6847542143000919,NL
2002,0.5865738442272775,NL
2003,0.8049125864116923,NL
2004,0.7430430380204589,NL
2005,0.7496267970461264,NL
2006,0.8081399598926142,NL
2007,0.7586152230760557,NL
2008,0.8160944015548961,NL
2009,0.8728730736574924,NL
2010,1.0676551778359435,NL
2011,1.252659863419077,NL
2012,1.5550181703709538,NL
2013,1.1037143727032959,NL
2014,1.0073686705347087,NL
2015,0.9210501110511014,NL
2016,0.9401336692288862,NL
2017,0.8801886623477088,NL
2018,0.8968384854730135,NL
2019,0.9107692537226016,NL
2020,1.1102606995601476,NL
2021,1.1485676766616415,NL
2022,1.1831719796988756,NL
2023,1.303181719876775,NL
1990,19.97261737716469,PE
1991,20.11261814054105,PE
1992,21.135076456129333,PE
1993,20.704507325082194,PE
1994,21.135414527045963,PE
1995,22.404730443856206,PE
1996,22.160114637705252,PE
1997,21.52808322702177,PE
1998,22.386537751144843,PE
1999,22.17068746203819,PE
2000,20.096859247550704,PE
2001,18.92065949198056,PE
2002,19.53775227826604,PE
2003,19.403246135763364,PE
2004,20.304288971484254,PE
2005,20.775440139995446,PE
2006,19.986820570124248,PE
2007,17.895250169191424,PE
2008,17.824563291225168,PE
2009,17.606788760655167,PE
2010,17.574044243669018,PE
2011,16.45670258082478,PE
2012,16.74921433616567,PE
2013,17.019138277631804,PE
2014,19.21729033389072,PE
2015,19.187009469160266,PE
2016,21.00105794023664,PE
2017,20.406678991773504,PE
2018,21.812706539005294,PE
2019,21.51792349157187,PE
2020,22.780316247059496,PE
2021,23.18863259828906,PE
2022,23.549966156226535,PE
2023,21.683405353004424,PE
1990,2.9133554205273384,NS
1991,3.3511116328309645,NS
1992,3.5769573585150067,NS
1993,3.148517136144898,NS
1994,3.279689334501712,NS
1995,3.5552771815916344,NS
1996,3.588290504258014,NS
1997,3.7158407039654695,NS
1998,3.4857497465729637,NS
1999,3.2914263372056407,NS
2000,3.2664653417991762,NS
2001,2.8695409030084678,NS
2002,2.8954060609834835,NS
2003,2.481691791948591,NS
2004,2.4021750374106423,NS
2005,2.49749506929848,NS
2006,2.377422287009506,NS
2007,2.301659419586824,NS
2008,2.4328691030952156,NS
2009,2.356484457894433,NS
2010,2.4203060245878,NS
2011,2.5362054396273557,NS
2012,2.5241564069747255,NS
2013,2.505833586653906,NS
2014,2.682561257197633,NS
2015,2.52693902790148,NS
2016,2.615946718811907,NS
2017,2.6316301346462807,NS
2018,2.5464198205527175,NS
2019,2.544833088977602,NS
2020,2.80934750940569,NS
2021,2.817522396448268,NS
2022,2.8068392601545007,NS
2023,2.9147712506015035,NS
1990,3.2116097453851666,NB
1991,3.380741141617323,NB
1992,3.3923772509678445,NB
1993,3.5357475197285186,NB
1994,3.2579898924605453,NB
1995,3.4539415431220846,NB
1996,3.3962630469559025,NB
1997,3.0729839839272937,NB
1998,3.0344536666401565,NB
1999,3.231537280242578,NB
2000,2.892844460661523,NB
2001,2.3931175856955322,NB
2002,2.640783813154039,NB
2003,2.721756891063686,NB
2004,2.649989717720513,NB
2005,2.730977907932065,NB
2006,2.8265793035740856,NB
2007,2.7117246478862147,NB
2008,2.7156578795819803,NB
2009,2.9615642497338883,NB
2010,3.3719626423401277,NB
2011,3.267084207048702,NB
2012,3.54918604907801,NB
2013,3.789933798435551,NB
2014,3.8678790925573,NB
2015,3.2227306571664402,NB
2016,3.3013645508975356,NB
2017,3.394627626199613,NB
2018,3.510192327401535,NB
2019,3.540943009255911,NB
2020,4.094608254125484,NB
2021,4.0247351144662815,NB
2022,3.784147805988895,NB
2023,3.9555680640919593,NB
1990,8.62691510680863,QC
1991,8.94233131064998,QC
1992,9.120535059721547,QC
1993,9.024283302544138,QC
1994,8.836007252608509,QC
1995,9.243471335449735,QC
1996,9.294872519158075,QC
1997,9.41872012425764,QC
1998,9.319637888271663,QC
1999,9.390244180948343,QC
2000,9.23403667016359,QC
2001,9.73945210090912,QC
2002,9.63573952155592,QC
2003,9.107145527032298,QC
2004,9.323485012416588,QC
2005,9.689474570791184,QC
